番号,チーム名,チームコメント,P1名前,P1 NAME,P2名前,P2 NAME,P3名前,P3 NAME,P1コメント,P2コメント,P3コメント
1,みもりん親衛隊,優勝してみもりんの魅力を世界に発信します,ガフロ,Gafro,みしえ,mishie,オレモ,Oremo,No comment,No comment,親衛隊隊長
2,よんでますよ。ロッコさん,No comment,くぜ,kuze,みゅこ,myuko,ロッコ,rocco,No comment,No comment,No comment
3,GunMaruGuchi -REVENGE-,No comment,Gunfight,Gunfight,Marko,Marko,UGPsみぞぐち,UGPs MZGC,revenge time,revenge time,revenge time
4,CR平和島 セカンドインパクト,職人魂溢れるプレイ、見せます,クラッシャー,Crusher,犬千代,Inuchiyo,なない,Nanai,EXブルヘッドが当たれば確率変動突入！？,元気よくボタンを押すだけです。今回もね,モラル溢れるサイコアックスをお見せします
5,フレッシャーズノート,No comment,白鳥,swanlake,ごっち,gocchi,ぜにがた,zenigata,決定予定はございません,No comment,脱社畜
6,blood-B,いっぱい対戦したいです！！よろしくお願いします！,ナオキ,naoki,ユージロー,yujiro,ユウキ,yuki,aB型です,B型です,やっぱりB型です
7,握力×体重×スピード＝破壊力,まだやるかい？,シャチ,Shachi,あかざく,Red-zaku,アラマキ,Aramaki,マミーさんみてるぅ？,not claw…,こんぐらっつれいしょん  せんきゅー
8,超兄貴,飛んで降りて回すだけツツ,Pすけ,PSK,キチパーム,KICHIPA-MU,まっち,MACCHI,バイソンは拒否ツツ,バーディーは拒否ツツ,どのキャラでもかかってこいツツ
9,タイステ星,タイステ村を襲ってタイステ星にしました,ネモ,AW Nemo,いんこ,inco,にしきん,NISHIKIN,No comment,No comment,No comment
10,フジツボ,No comment,ちゃつぼ,chatsubo,ちょぐ,chogu,ダシマキ,dashimaki,No comment,No comment,No comment
11,グローバルコミュニケーション,言葉は要らない、コマ投げがあれば,ドウメキ,Doumeki,カジモン,kazimonn,SOFA KING,SOFA KING,No comment,No comment,No comment
12,関西の良心,僕たち悪い関西人じゃないよ！,ぃぃんちょ,iincho,よみ,YomiAZ,ラブレンジ,love_range,ツイスターゲームやりたい,東京でワンチャン,うちら、やったるでぃ
13,ぶっぱの向こう側～金髪スリャー！～,エンジョイの向こう側には、何があるのかな。きっと素敵な世界が待ってるんだよね。,クポ先生,TEACHER KUPO,西ケン,NISHI-KEN,キタボッ！！！,THE CRAZY MAN,お下げから三つ編みに変えてみた結果……？,出るか！必殺クソぶっぱ！,人としてクレイジー。
14,ザフィーラ学園の遠足,高1と高２引き連れての遠足,2日後16歳あさり,Asari,ザフィーラ,zafila,しおん,SHION,ハク君と同い年で若干キャラかぶり感ある。,リリカルロジカル頑張ります！,No comment
15,スーパーゲテペ！サンシャイン,TOY、コーリンやめるってよ,トイ,TOY,ガミ,GAMI,マック閣下,Mac　Your Honor,ネカリからコーリンに変えましたが、3日でネカリに戻ってきました。ゲテペ！,ゲテペ！！！！,、、、ゲテペ、、、
16,Kappa,ヤバイと思いつつ抑えきれなかった,Zura,Ramlethal,Hiu Kuro,UNGA,MEOW,Millia,LUCYで“痛いほう”のラシード,泊まり明けのコマ投げは痛えぞ…,このチーム名に納得はしていません
17,ムゲンバンジョー,ﾌｧｰｵｯ(高音）　ｯﾎｰﾝ ,ねおぱる,neoparu,anton,anton,ゆきまゆ,fujii　sinjya,ﾔｯﾎ(低音)　フゥゥゥゥゥッ↑（高音）,アイコンは可愛いね,つ(^ー^)にふじいプロを一番知る男
18,沈まぬバイソン,ブヒブヒ,ぼびぃ☆,bobby,きょん,kyon-shoma,コダックス,kodax,がんばります！,加藤です。,アレックス大好き
19,BRADIO,頑張ります！,よしと,yoshito,sibai,sibai,さばお,sabao,No comment,No comment,No comment
20,YouTubers,チャンネル登録よろしくお願いします！,246,nishimu,しらたき,Shirataki,ミドウ,midou,ケンで勝つという動画やってます！ぜひ見てください！,テスト期間なうだよ！勉強させろ！,よろしくおねがいします
21,ワンダープロジェクトJ,心の回路を集めました,デューク,duke,メジャーボーイ,Majorboy,ティーワイ,ty_ty,No comment,No comment,No comment
22,握力×体重×スピード=破壊力,まだやるかい？,あかざく,Red-zaku,アラマキ,Aramaki,シャチ,Shachi,not claw…,こんぐらっつれいしょん せんきゅー,奇しくも同じ構えだね〜
23,あおもリーグ宣伝部,あ、、あお、、あおも、、、あおもりぃぃぃぃぃぃぃぃぃぃぃぃぃぐ！！！！！！,,Flick ,,Shin,,Puppy,りんご食え！,出来高制でリンゴがもらえると聞いてチームに来ました。,北海道最高！
24,メルブラ勢,No comment,めんま,Menma,がる,Garu,するめ,Surume,No comment,No comment,No comment
25,自称学生,がくせい 【学生】 学校で学業を修めている者。特に、大学に学ぶ者。,伊織,IORI,えば,ever,COMP|HATSUME,COMP|HATSUME,苦無の価値は,たこやきばなな,ちょっと聞きたいんだがお前猫の言葉は話せるのか？
26,ハングリーボックス,優勝目指して頑張ります,シン,Shin,シュガー,Sugar,ノリ,NORI,忍ism大好きです,Redbull大好きです,よっしゃーいくぞー
27,trashbonbi式,頑張ります,trashbox,trashbox,ボンビ〜,bonbi,しき,shiki,僕のバーディーが食らい尽くします,あ,戦犯しないように頑張ります
28,カプコンのミス,カプコンのせい,あんまん,Anman,エムエム,emuemu,きのこ,kinoko,ヘッドの鬼,成長し続けるザンギエフ,決まり手、ターンパンチ
29,Logical or Die  ,どんな裏表よりも怖い、ロジカルサーカスを始めます。    ,LoD/カミヅキ,CAMDUKI,LoD/EXAM-BD1,EXAM-BD1,LoD/べあ,ｂｅａ,丁寧なプレイを心がけます,和歌山県の南部から初遠征＆初オフラインです。よろしくお願いします。,楽しみましょう！
30,純粋駒格,No comment,テンゴ,Tengo,FM,flashmechanism,りょーと,Ryoto,No comment,No comment,No comment
31,昼休みファイターズ,No comment,がろ,GARO,ようき,YOUKI,チェペリ,Zeppeli,No comment,No comment,No comment
32,斡旋の逆風,斡旋なのでチーム名を考える必要あるのかわかりませぬ...,ひとちゃん,hitochanwsolpin,なし,No,なし,No,2度目のTOPにして今年三重から千葉にきて初のTOPは勝てるんか...？,No comment,No comment
33,斡旋希望,初参加です,ruripo,ruripo,なし,No,なし,No,No comment,No comment,No comment
34,ワインとチーズ,No comment,ジャンルイ,JL,なし,No,なし,No,日本に住んでいるフランス人です。よろしくお願いします。,No comment,No comment
35,mess up,くちゃくちゃにします,ぶん蔵,bunzou,くわしま,kuwashima,なし,No,ストV歴6ヶ月の新参ですが、お手柔らかにお願いします><,精一杯頑張ります！,斡旋
36,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
37,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
38,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
39,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
40,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
41,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
42,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
43,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
44,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
45,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
46,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
47,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
48,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
49,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
50,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
51,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
52,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
53,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
54,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
55,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
56,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
57,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
58,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
59,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
60,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
61,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
62,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
63,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
64,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
65,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
66,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
67,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
68,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
69,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
70,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
71,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
72,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
73,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
74,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
75,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
76,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
77,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
78,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
79,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
80,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
81,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
82,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
83,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
84,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
85,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
86,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
87,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
88,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
89,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
90,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
91,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
92,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
93,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
94,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
95,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
96,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
97,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
98,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
99,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
100,0,No comment,0,0,0,0,0,0,No comment,No comment,No comment
VN,Hanoi,,Flick,Potemkin,Shin,Sin,Puppy,I-no,,,
SG ,SaiGon,,Zura,Ramlethal,Hiu Kuro,UNGA,MEOW,Millia,,,
